block_group,UFP_mean,asian_non_his,hispanic_any_race,black_non_hisp,two_or_more_race,white_non_his,american_indian,house_less20k,house_20_35k,house_35_50k,house_50_75k,house_more_75,education_less_highschool,education_highschool,education_some_college,education_college_degree,education_graduate,age_less_5_male,age_5_17_male,age_18_65_male,age_more_65_male,age_less_5_female,age_5_17_female,age_18_65_female,age_more_65_female
420035628001,12508.536907283295,5,2,137,6,461,0,62,28,36,73,73,25,183,133,102,20,22,34,209,38,6,30,247,26
420035625004,10624.5490140056,30,0,982,122,353,0,121,93,74,75,146,69,245,298,124,114,112,221,419,32,23,123,493,69
420039804001,10022.594360505971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420031414005,15473.689926725672,124,120,29,16,741,0,167,66,95,151,124,0,48,85,276,297,13,25,405,0,115,39,420,13
420032614001,10270.929329044306,0,0,409,0,30,0,32,27,27,29,58,0,130,72,44,65,0,55,161,38,24,30,116,15
420035628002,11811.90184824118,26,20,35,28,927,0,211,60,56,94,112,115,248,277,124,61,36,41,322,79,42,29,356,128
420035632002,21039.905184651547,11,42,265,20,573,0,285,118,53,103,87,167,308,162,104,121,0,25,445,88,0,8,265,102
420035626002,11271.33116226203,0,33,103,138,787,0,165,74,52,89,51,43,338,226,9,44,20,150,329,41,0,140,305,82
420039807001,16632.37440148141,0,0,0,0,14,0,0,0,0,5,5,0,0,5,0,5,0,0,5,0,0,0,9,0
420035627001,14576.083074505845,0,14,7,10,296,3,21,32,28,23,65,16,32,62,109,88,0,10,187,27,0,0,82,27
420032615002,10477.324990976482,0,52,325,14,394,0,146,6,70,79,64,47,140,173,90,54,17,100,242,12,7,22,317,61
420030709003,12077.176629361145,416,6,44,4,423,0,252,11,16,49,93,0,11,38,61,141,0,0,567,35,19,0,277,28
420039806001,17061.85498920153,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4
420035616001,11690.335228728729,0,0,190,43,15,0,99,15,0,7,0,28,24,51,0,0,59,5,29,0,52,0,82,6
420031401003,10571.18153227646,116,4,44,3,127,0,0,0,0,0,0,0,0,0,10,0,0,0,179,0,0,4,151,0
420031517003,10267.280629950827,0,0,0,0,748,0,60,26,14,39,218,0,189,88,149,153,87,17,189,83,0,3,263,106
420031517004,10326.553814992347,0,56,12,22,723,0,14,51,16,85,155,0,124,125,199,185,18,12,323,63,17,30,262,65
420031609002,17265.196108024913,72,78,81,9,1810,0,301,137,116,185,420,58,264,215,410,414,5,21,745,59,31,100,794,235
420031702001,17694.24582657535,0,0,0,0,625,16,184,0,88,25,103,25,26,100,131,101,0,0,396,0,0,0,173,58
420031702003,13960.299721740977,29,0,20,32,1167,0,117,144,120,64,112,30,283,72,196,54,18,15,723,36,0,0,337,105
420031706001,12099.785503278059,12,21,8,0,309,0,34,29,38,24,87,20,26,91,102,88,0,4,219,13,0,5,77,32
420031706002,13972.399670436183,0,62,0,24,600,0,54,51,79,53,92,47,203,92,76,74,0,25,281,46,0,30,230,53
420031807003,13251.004523327385,0,5,297,41,422,0,126,59,52,96,11,68,172,172,82,47,10,42,256,71,4,61,220,109
420031903001,14238.015553131292,0,55,4,6,1017,0,104,45,22,100,303,49,135,202,298,168,12,52,421,73,11,3,406,104
420031916002,12096.625173716393,0,83,210,15,495,0,58,92,54,85,65,92,69,262,135,46,53,26,237,7,23,24,300,117
420031916005,12268.305877581999,0,78,168,0,968,0,51,39,51,107,245,229,163,301,147,83,36,55,467,92,5,87,343,114
420031917001,11416.652427401394,31,67,196,77,1921,0,145,176,163,169,352,109,550,500,296,248,49,159,806,174,42,177,682,211
420031917002,10823.655333936898,0,7,51,36,385,8,0,45,8,41,84,57,64,67,119,45,21,14,157,17,24,46,172,26
420031917003,13649.717956599361,48,10,36,30,816,5,75,72,49,45,104,79,210,173,165,52,0,110,367,16,0,75,324,53
420031918002,10004.830604326307,0,0,0,0,342,0,13,76,0,54,55,0,83,72,49,61,0,22,108,10,11,22,92,77
420031918004,11659.943246744246,0,0,23,0,751,0,20,88,40,109,84,120,136,202,90,58,0,89,311,48,0,14,297,34
420031918005,11191.980693501067,21,0,0,21,769,0,12,56,15,235,65,0,264,178,102,21,32,63,289,23,32,21,316,35
420031918006,10326.443826362314,0,122,26,0,1055,0,46,113,69,159,101,87,166,204,227,102,103,90,407,49,31,69,427,36
420031918007,9991.417420676391,0,54,47,0,509,0,71,50,14,65,76,16,217,205,73,0,0,55,90,53,20,24,289,79
420031919001,11392.43004527477,0,0,50,77,583,8,24,68,66,50,120,23,214,118,109,49,45,36,230,35,30,78,206,58
420031919002,11181.590248183633,26,0,62,28,655,0,93,67,17,71,126,42,175,148,129,91,19,72,316,24,17,9,259,50
420031919003,14195.859147601583,31,0,99,0,285,0,50,44,29,55,46,35,76,142,26,33,9,11,129,43,0,20,146,57
420032406001,13338.290327050277,81,41,77,54,989,0,145,100,83,107,275,56,337,155,264,278,38,17,596,56,17,24,403,91
420032406002,13478.476629108223,0,8,234,33,705,0,108,121,113,76,31,32,276,205,63,65,0,130,244,49,16,68,374,99
420032412001,10702.760074960774,0,0,39,6,252,0,38,46,20,18,17,84,119,27,16,0,7,10,115,31,5,18,81,30
420030103002,16269.599754241375,104,139,253,99,2924,0,0,0,0,0,0,3,0,26,24,42,0,0,1165,22,0,31,3442,0
420031918001,10740.188510864928,111,0,16,0,447,0,23,56,42,41,65,73,231,58,53,27,0,16,177,86,53,32,133,68
420030806002,14290.420976585401,8,0,10,10,667,0,76,100,35,92,124,16,71,52,245,170,21,33,296,0,0,17,293,35
420031403002,11297.211368070288,84,36,120,0,671,0,46,49,42,42,272,13,70,95,178,360,9,40,252,127,16,74,245,143
420031608002,14019.529483209291,0,0,139,21,662,0,29,64,34,33,154,43,82,111,169,67,36,19,385,56,32,27,241,26
420031608003,10052.109903621098,0,11,0,0,706,0,67,64,15,100,83,75,139,188,90,32,0,33,360,27,0,71,170,56
420031608004,11324.748744303288,0,26,143,83,684,0,66,74,53,100,77,18,257,160,121,63,0,22,523,16,14,68,265,28
420031609001,14301.902043491284,42,12,60,0,1120,0,121,64,10,72,225,31,130,128,77,329,0,24,755,56,0,44,332,77
420031803001,11860.141367214264,25,0,290,75,516,0,194,54,68,74,44,34,333,202,64,21,21,119,223,26,17,69,333,98
420031803002,12745.399217525568,0,0,275,59,253,0,74,65,84,25,8,51,188,88,24,27,0,67,141,42,20,69,227,32
420031803003,10982.190533662786,0,18,393,17,361,0,75,85,28,54,37,31,177,182,8,6,0,179,81,33,22,130,310,34
420031706003,11732.518815321804,0,21,73,0,592,2,94,52,40,63,57,67,164,127,122,18,0,48,423,20,4,14,154,25
420031807002,12157.605370692345,0,0,95,31,659,0,59,59,50,65,97,31,172,196,66,49,20,92,306,33,61,29,219,25
420031903002,11222.75342897052,0,20,42,32,681,0,20,120,29,108,176,0,183,188,211,80,0,7,292,101,0,27,274,77
420031911002,12511.409333459858,53,0,0,28,1282,0,135,84,59,74,278,88,258,229,261,169,36,63,458,165,92,53,375,129
420031914001,13128.679171489355,11,13,165,41,1398,7,215,130,87,110,383,76,239,266,496,171,78,34,685,56,10,0,582,183
420032609001,11278.011198287431,0,108,1252,43,37,0,331,98,35,35,11,149,364,111,13,32,80,216,285,34,94,194,519,52
420032612001,13337.961534814478,0,0,99,10,1020,0,25,73,72,114,210,53,289,236,189,86,34,79,372,75,41,71,335,122
420032614002,11047.143729753856,0,0,295,0,115,0,94,79,31,0,21,71,122,93,25,0,22,24,122,22,0,23,173,50
420032701001,11301.876349929307,10,17,157,56,1473,4,44,110,119,147,247,36,261,372,301,181,67,96,509,86,92,113,677,122
420032701002,11257.361783115854,0,39,248,6,441,0,38,104,55,84,56,62,179,200,89,57,0,59,217,73,9,60,254,51
420032703001,10600.926060583632,0,0,471,107,839,0,129,128,56,151,117,133,430,221,135,43,20,131,442,120,54,63,487,123
420032708001,10264.257552189862,0,9,73,14,667,0,91,53,8,82,83,26,205,117,168,66,0,70,195,99,23,71,132,173
420032708002,10852.476113471144,25,0,192,53,587,0,84,40,67,75,134,20,168,168,218,96,50,48,300,54,31,9,297,81
420032715001,10337.296811452108,0,0,82,35,567,0,29,71,22,78,60,72,197,125,68,0,28,162,217,28,20,28,183,67
420032715002,11683.11048719618,0,8,468,169,393,0,86,127,98,54,45,53,266,130,91,33,62,57,232,35,53,66,461,86
420032715003,11058.148488858324,0,27,337,0,570,0,149,40,27,85,57,135,157,99,80,45,52,94,281,59,22,65,278,57
420032902005,12066.762484730642,0,0,137,95,816,3,49,51,68,46,144,50,243,314,110,35,18,91,376,61,6,92,385,41
420033102001,10430.903899645065,0,0,0,0,524,0,63,39,46,57,31,15,174,105,61,19,0,37,142,47,0,73,122,95
420033102002,10577.541222846996,0,8,0,0,783,0,31,75,40,51,101,43,317,128,61,7,13,95,285,57,39,27,222,71
420033103001,10308.062302869263,0,20,58,33,875,0,39,59,30,80,177,81,236,168,138,102,28,94,286,50,0,84,328,123
420033204001,11943.952387849917,0,0,45,25,804,0,43,66,86,86,65,34,361,165,65,30,16,47,194,92,24,99,278,143
420033204002,12346.137319777998,0,15,48,19,634,0,39,15,75,61,81,36,200,139,80,53,54,36,214,42,48,44,226,51
420033204003,13066.83098201603,6,13,0,6,499,0,40,84,36,48,37,23,216,74,36,30,11,29,192,32,0,22,154,55
420033206001,11320.63491527272,0,0,62,18,1118,0,55,76,81,138,155,49,368,253,147,51,11,85,370,79,51,113,378,116
420030203001,18180.87707804967,62,20,41,18,680,0,49,37,36,93,338,3,21,91,308,322,8,0,404,27,9,17,332,24
420030305001,12901.888177764573,25,100,843,83,144,20,326,112,59,74,77,185,383,229,138,60,24,39,459,92,35,127,342,181
420030305002,11495.083028021965,0,116,839,12,26,0,295,76,19,57,22,100,241,264,45,5,33,79,274,69,30,101,224,183
420030506001,11799.667032961912,0,0,540,0,218,0,141,43,118,43,89,87,175,155,124,62,17,28,170,86,14,40,180,223
420035626001,15423.447047663922,0,0,23,39,159,0,22,16,30,7,16,0,29,34,18,7,0,0,112,18,0,0,100,13
420035624002,12077.196264149947,0,22,253,23,73,0,71,49,20,21,19,11,71,82,33,22,0,28,105,10,39,4,111,74
420035629001,11434.209090107395,35,0,200,11,359,3,107,56,42,25,4,46,176,150,32,0,11,66,224,21,8,85,171,22
420035619002,10200.589734810907,0,0,1232,79,134,0,222,166,58,117,98,126,424,342,123,73,24,147,375,118,19,91,429,214
420035632003,15740.11740496262,10,27,177,0,800,0,201,127,35,152,90,87,318,132,212,92,12,41,452,55,8,43,324,75
420030201006,19034.3740074027,74,0,0,9,440,0,33,23,23,42,202,0,38,87,102,223,10,0,275,24,0,0,203,11
420039818001,10730.646480723593,29,30,63,15,160,0,13,4,0,0,0,0,8,4,5,0,0,45,86,9,0,2,205,0
420035625001,14589.959946337287,0,0,26,0,187,17,13,13,64,6,18,12,102,51,38,8,0,6,113,17,0,6,82,6
420039800001,16991.956256361296,35,13,18,0,191,0,8,14,16,13,106,0,42,30,70,81,9,4,112,12,9,0,94,17
420035620002,15055.766610174962,174,16,47,26,493,16,265,134,20,13,68,72,25,72,68,186,0,0,317,20,16,0,365,89
420031516002,13461.35929358704,19,16,9,34,770,0,82,60,39,83,83,67,250,146,132,60,9,61,249,71,17,52,243,140
420032509001,11709.994722338712,0,6,481,16,200,3,160,83,46,31,64,24,197,148,61,6,51,60,257,16,31,40,262,26
420032614004,11090.576111025135,8,6,259,18,204,0,66,41,83,58,6,32,147,136,81,25,0,12,182,49,0,1,123,128
420035625003,14658.917791344027,0,0,553,85,214,0,227,74,39,22,7,53,335,88,26,43,21,119,202,94,92,55,270,67
420035630004,10278.737123586543,0,0,392,14,31,0,79,37,40,61,34,47,133,127,46,43,0,0,110,62,0,31,137,97
420035626004,11513.138176178483,0,12,43,0,372,0,98,22,30,9,34,54,155,64,10,21,20,51,147,5,0,9,161,34
420039810001,10295.118068578524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420031106002,10220.303978803222,12,31,70,0,765,0,21,25,39,60,175,16,103,73,91,268,50,191,183,59,0,82,202,111
420031204001,13301.534449791681,0,0,372,3,7,0,98,44,7,6,6,26,121,96,4,0,0,47,100,20,12,45,107,53
420035616004,10068.869525291557,0,23,90,13,347,0,39,37,20,31,58,24,110,146,36,5,13,21,195,12,0,9,217,6
420035620003,11012.489944048442,29,60,151,36,372,0,127,27,38,44,74,34,65,49,47,263,0,44,168,95,0,38,203,138
420035629003,11006.582712063122,113,12,101,14,673,0,49,76,72,81,151,21,204,235,137,99,47,42,290,78,4,54,306,107
420030902003,12324.67691487003,6,11,43,0,796,0,141,69,60,39,58,126,243,143,165,77,0,37,231,144,26,32,168,218
420031011003,13031.289330506936,31,10,38,17,443,0,44,104,29,76,65,39,154,128,70,48,0,33,243,27,0,0,142,113
420031406003,12125.145552754466,0,19,168,27,827,0,141,25,96,99,153,48,53,182,258,234,36,54,294,22,0,121,454,72
420030103004,19811.76928059151,58,5,100,3,141,6,57,12,21,37,24,6,59,105,54,24,0,18,144,11,22,7,98,13
420030409003,11918.151187476886,7,0,59,14,874,0,168,19,33,45,96,10,64,129,94,50,0,69,609,9,0,16,179,55
420035623005,10327.03795322008,0,34,39,0,441,0,104,38,0,46,38,0,146,140,69,26,4,35,133,48,5,58,171,60
420030201005,21123.924964162474,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,13,0,0,13,0,0,0,0,0
420030603001,15223.22082425631,0,124,286,14,818,0,87,192,29,191,125,33,220,263,229,184,28,92,448,33,22,40,527,54
420031608001,12953.399841283652,0,18,23,0,411,0,84,49,29,0,55,23,138,59,92,24,0,8,222,36,10,10,143,30
420032904003,10564.7182297685,0,60,36,70,558,0,75,26,84,38,104,82,178,109,151,30,20,21,285,52,31,31,202,67
420039811001,10409.876219901567,0,0,0,0,5,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
420031916004,10402.644957297205,0,6,25,116,688,0,64,101,42,96,89,68,226,185,153,40,12,15,386,39,93,9,236,45
420035623002,10132.05009303573,0,17,692,0,179,0,163,27,50,29,0,147,177,231,11,6,50,90,159,73,38,28,299,179
420035632001,18650.376642234718,26,0,0,0,184,0,7,30,0,40,85,0,8,19,65,75,0,15,106,9,0,0,80,0
420039822001,12137.527343508527,341,61,276,126,3938,0,15,3,0,0,4,5,4,4,8,0,0,42,1916,0,0,43,4513,0
420035630001,16934.93351418556,69,56,249,9,876,0,39,24,25,117,253,53,170,233,295,143,16,34,528,37,78,21,488,57
420035620001,15034.852474400957,513,55,131,0,586,0,483,170,132,31,112,18,34,48,368,259,17,0,618,62,0,0,482,100
420035624001,12422.226512000541,47,37,21,52,794,0,80,62,16,109,144,35,314,229,59,40,21,84,282,82,17,86,280,88
420030709004,11995.628194257022,465,10,28,11,475,0,244,153,31,14,141,48,13,30,177,332,10,0,390,39,32,0,527,67
420034790001,13513.684682495768,4,0,0,28,911,0,60,42,59,109,107,65,309,210,103,29,42,48,308,68,0,71,256,150
420039805001,11097.85464037554,0,0,0,0,17,0,4,0,0,0,4,4,0,0,0,13,0,0,5,8,0,0,0,4
420035619001,10270.083126815001,0,5,920,16,195,0,156,105,59,13,34,158,339,119,140,49,5,83,333,234,0,59,290,180
420035623006,11932.021308613499,26,9,811,13,253,0,306,8,0,12,76,74,311,251,97,39,42,115,316,63,98,85,308,85
420035623004,11281.225151909723,0,0,113,50,300,0,131,21,19,29,0,20,192,131,13,21,9,35,188,11,16,14,147,43
420032614003,10226.126233974923,0,0,454,0,105,0,123,47,41,21,0,61,190,36,7,12,82,124,47,24,0,47,106,129
420031920002,13464.581078092471,8,0,30,14,553,0,94,9,30,42,88,63,229,97,131,16,0,23,235,47,0,0,183,126
420031517006,11803.622399241929,0,49,131,48,959,0,80,72,119,87,150,31,246,269,152,177,52,67,370,28,17,158,425,88
420031414002,11405.750554558042,0,0,0,0,514,0,0,14,47,61,110,0,32,112,163,162,0,7,149,71,0,38,168,81
420030103001,15998.463835479422,9,79,1171,127,980,18,0,0,0,0,0,265,896,536,53,27,0,17,2145,9,0,0,204,0
420030201001,17473.228704204554,140,97,110,54,1216,0,20,13,0,12,224,0,53,41,121,200,0,12,627,33,0,13,1206,26
420030201002,19340.324288425778,41,0,160,0,877,8,321,163,22,88,242,35,154,241,211,361,0,0,342,137,0,0,482,171
420030201003,23346.59896571811,43,14,0,0,262,13,0,0,0,0,195,0,0,51,104,128,12,0,164,0,11,26,119,0
420030402002,11505.009121549732,69,8,205,25,395,0,44,23,19,13,15,14,53,44,63,48,10,0,147,7,0,4,537,101
420030404001,17954.675023829685,151,28,100,0,203,0,205,15,18,20,36,0,9,8,31,72,0,0,224,21,0,0,264,30
420030405001,12657.07669567755,107,62,67,0,1368,0,275,58,34,37,15,8,24,26,10,6,0,0,557,14,0,17,940,0
420030405002,14978.356771630495,192,35,116,32,1745,0,369,139,93,34,31,8,67,7,113,124,0,0,768,43,5,6,1196,46
420030510002,10234.613105233493,115,26,378,44,687,0,109,59,24,7,25,38,114,61,31,49,14,9,646,34,0,27,731,74
420030511001,10538.70814478824,0,0,187,0,0,0,57,38,17,6,0,45,59,18,10,0,24,17,47,7,0,0,68,24
420030603002,16292.586863432356,13,21,55,157,1045,0,131,119,48,113,232,93,140,347,406,89,7,91,474,64,7,82,423,143
420030605001,15550.06885771802,0,4,55,10,682,0,149,67,50,29,126,53,165,141,153,108,6,14,343,31,25,13,243,76
420030605002,12934.046111238966,0,27,19,30,460,0,66,52,42,38,99,26,136,126,122,40,4,3,248,28,7,5,206,28
420030703001,13251.011789610033,0,28,0,0,556,7,47,10,123,57,150,0,25,101,215,116,0,0,224,0,28,8,321,10
420030703002,13529.76060234048,75,39,65,10,510,0,57,57,47,76,96,67,65,29,187,210,0,22,244,68,12,0,251,102
420032602001,12579.051035303675,0,7,174,0,426,0,62,66,28,45,74,67,103,159,106,49,22,35,220,26,13,25,236,30
420032602002,10208.8067809867,0,14,236,21,690,0,47,91,121,77,84,58,276,186,108,101,14,85,322,90,13,22,320,99
420032602003,11942.601269681461,0,8,116,14,363,3,29,44,16,43,74,8,77,109,92,33,8,72,215,0,15,29,154,5
420032607001,11469.503571045632,0,27,214,15,279,0,47,60,27,30,78,70,74,163,63,58,40,11,187,31,7,21,197,27
420032607002,10753.00903109567,0,125,376,23,637,0,41,45,111,61,202,78,163,197,280,122,30,80,403,77,90,35,336,110
420030409001,17570.002263952974,49,20,127,40,651,0,225,81,44,23,8,60,65,57,76,49,9,0,492,51,0,9,258,36
420030409002,13625.14842243352,194,47,108,59,758,0,196,28,61,110,86,47,142,103,109,127,22,44,550,31,0,13,392,78
420030501001,10408.074357682803,18,0,571,0,21,0,105,62,65,31,29,94,138,185,25,24,6,12,125,30,25,18,315,73
420030406001,11629.143205101675,76,53,131,72,1606,0,440,206,86,83,50,121,9,125,130,40,0,0,906,72,0,0,749,61
420030501002,10716.936221429898,0,0,380,83,6,0,133,12,11,22,50,53,128,126,23,26,0,12,84,12,0,58,292,40
420030501003,11276.818085491053,0,0,745,121,142,0,258,94,17,31,46,116,165,229,22,19,86,74,211,85,106,28,293,133
420030703003,12747.19266007143,31,8,48,10,627,0,35,18,50,48,177,0,41,28,147,282,20,39,202,74,0,107,206,76
420030705001,10863.13873963786,373,42,24,16,852,0,86,146,106,155,226,14,34,65,373,458,10,28,542,43,41,31,594,18
420030705003,16473.91191187496,227,37,7,17,619,0,157,48,43,81,214,0,23,37,330,356,0,9,390,25,11,0,413,59
420030706001,11486.61277070515,131,19,34,9,571,4,56,70,72,100,202,0,57,62,140,300,0,0,336,56,19,9,264,84
420030706002,11340.031058790844,105,71,12,45,977,0,136,157,146,132,162,7,78,85,369,457,30,12,504,89,24,0,453,102
420030708001,15299.829146765134,87,69,44,0,525,0,125,39,43,82,159,2,32,85,217,265,12,5,342,22,4,6,276,58
420030708002,11698.776733979836,453,41,2,12,618,0,137,61,85,142,156,11,15,81,212,442,29,63,372,99,42,10,455,56
420030709001,13341.3418268949,439,41,96,60,1229,0,242,167,98,183,292,64,142,137,516,499,7,25,835,142,0,15,729,93
420030709002,12667.332270750525,281,31,76,16,424,19,268,39,61,14,157,0,40,120,159,227,41,19,415,65,0,26,217,64
420030901001,14986.634974597786,27,27,159,0,1182,0,102,92,118,156,261,48,281,221,292,325,20,10,599,64,4,30,589,79
420030902001,13560.883666667482,0,51,73,61,760,0,48,32,54,97,212,8,140,241,196,156,40,49,354,43,24,12,385,34
420030902002,11463.386173921368,55,13,27,51,842,0,84,112,39,165,118,59,218,82,250,189,35,0,331,61,10,0,436,115
420030903001,14228.4747109929,15,4,218,7,952,0,135,130,136,87,97,64,269,255,278,112,39,22,502,40,22,8,484,95
420030903002,15559.690574303244,5,18,12,7,438,0,42,80,49,27,65,49,129,32,111,92,0,0,207,25,19,33,142,54
420031016001,9943.968983496105,0,16,990,3,37,0,150,71,67,39,45,72,232,154,6,55,64,135,206,16,78,146,371,66
420031017001,11192.557363326008,0,21,279,12,222,0,97,37,42,23,43,23,187,130,55,67,0,6,201,35,8,0,224,70
420031017002,10684.935376141806,0,0,533,47,248,16,145,56,37,72,71,12,222,227,149,29,23,129,242,15,10,30,393,43
420031102002,10953.533634985255,4,39,389,13,565,0,26,32,85,16,187,3,91,134,93,317,68,84,316,19,101,29,313,121
420031102003,10507.68425589703,133,59,169,83,673,0,80,94,62,148,211,17,166,233,207,291,20,48,446,124,18,51,348,62
420031102004,10752.576715139,0,72,741,22,630,0,130,194,69,32,141,0,369,236,139,109,33,215,522,45,0,139,406,108
420031115004,15552.839715558683,0,0,670,12,11,0,117,39,75,38,0,86,56,120,74,11,0,9,115,24,0,188,422,34
420031203001,12142.877050655485,0,0,1009,32,38,0,124,90,55,35,124,40,379,220,57,68,0,131,373,20,36,61,362,102
